Date,Open,Close,High,Low
2000- 08- 24,"3,897.05","3,949.57","3,954.60","3,884.57"
2000- 08- 25,"3,945.50","3,931.25","3,986.73","3,915.79"
2000- 08- 28,"3,933.33","3,954.24","3,987.71","3,928.80"
2000- 08- 29,"3,955.54","3,951.94","3,970.92","3,923.42"
2000- 08- 30,"3,951.67","3,968.73","3,984.19","3,921.49"
2000- 08- 31,"3,971.32","4,077.59","4,080.48","3,971.32"
2000- 09- 01,"4,084.11","4,099.30","4,147.19","4,057.44"
2000- 09- 05,"4,085.89","3,987.03","4,085.89","3,986.28"
2000- 09- 06,"3,978.23","3,837.62","3,983.74","3,837.33"
2000- 09- 07,"3,847.79","3,953.36","3,963.94","3,847.79"
2000- 09- 08,"3,949.15","3,813.44","3,949.15","3,811.60"
2000- 09- 11,"3,813.44","3,706.74","3,852.45","3,690.47"
2000- 09- 12,"3,706.74","3,666.87","3,792.38","3,645.28"
2000- 09- 13,"3,666.87","3,741.75","3,752.45","3,610.65"
2000- 09- 14,"3,741.75","3,737.42","3,834.51","3,715.65"
2000- 09- 15,"3,731.73","3,676.33","3,748.76","3,640.58"
2000- 09- 18,"3,676.33","3,585.52","3,723.67","3,548.59"
2000- 09- 19,"3,588.37","3,756.40","3,756.87","3,588.37"
2000- 09- 20,"3,756.40","3,790.45","3,810.30","3,660.31"
2000- 09- 21,"3,790.45","3,718.15","3,790.45","3,691.93"
2000- 09- 22,"3,718.15","3,701.18","3,718.15","3,505.18"
2000- 09- 25,"3,753.31","3,622.10","3,774.78","3,611.09"
2000- 09- 26,"3,643.65","3,582.59","3,696.99","3,566.71"
2000- 09- 27,"3,631.08","3,571.90","3,648.94","3,533.67"
2000- 09- 28,"3,556.99","3,725.15","3,725.75","3,556.34"
2000- 09- 29,"3,684.87","3,570.61","3,690.24","3,557.54"
2000- 10- 02,"3,613.74","3,457.97","3,613.86","3,447.71"
2000- 10- 03,"3,528.00","3,353.34","3,544.54","3,351.61"
2000- 10- 04,"3,337.91","3,453.36","3,476.52","3,291.61"
2000- 10- 05,"3,421.46","3,424.32","3,492.28","3,392.00"
2000- 10- 06,"3,432.82","3,311.94","3,468.28","3,262.80"
2000- 10- 09,"3,306.75","3,318.90","3,359.93","3,185.28"
2000- 10- 10,"3,271.69","3,188.29","3,336.61","3,175.38"
2000- 10- 11,"3,077.51","3,100.53","3,220.52","3,047.17"
2000- 10- 12,"3,175.75","3,004.45","3,183.96","3,000.43"
2000- 10- 13,"2,990.99","3,277.77","3,278.77","2,990.99"
2000- 10- 16,"3,265.96","3,249.46","3,296.95","3,203.13"
2000- 10- 17,"3,313.81","3,172.19","3,326.13","3,127.63"
2000- 10- 18,"3,045.70","3,139.31","3,245.58","2,982.04"
2000- 10- 19,"3,316.63","3,402.95","3,404.33","3,271.20"
2000- 10- 20,"3,379.73","3,456.61","3,514.96","3,378.95"
2000- 10- 23,"3,451.40","3,422.00","3,498.04","3,378.34"
2000- 10- 24,"3,455.37","3,353.26","3,481.31","3,326.12"
2000- 10- 25,"3,245.69","3,107.61","3,283.20","3,086.61"
2000- 10- 26,"3,127.44","3,167.14","3,185.91","2,956.20"
2000- 10- 27,"3,232.81","3,175.25","3,275.22","3,109.06"
2000- 10- 30,"3,128.94","3,081.07","3,195.45","3,038.41"
2000- 10- 31,"3,120.21","3,282.30","3,304.62","3,120.21"
2000- 11- 01,"3,214.40","3,225.27","3,311.00","3,176.87"
2000- 11- 02,"3,292.13","3,308.48","3,326.37","3,259.07"
2000- 11- 03,"3,329.26","3,321.91","3,359.99","3,275.07"
2000- 11- 06,"3,346.15","3,290.47","3,369.47","3,285.77"
2000- 11- 07,"3,262.58","3,279.57","3,304.38","3,217.45"
2000- 11- 08,"3,295.77","3,059.09","3,296.30","3,058.66"
2000- 11- 09,"2,993.02","3,057.06","3,081.62","2,923.10"
2000- 11- 10,"2,974.43","2,890.26","3,011.58","2,890.02"
2000- 11- 13,"2,798.95","2,836.62","2,969.62","2,742.47"
2000- 11- 14,"2,952.62","3,039.50","3,043.66","2,926.66"
2000- 11- 15,"3,027.61","3,076.70","3,128.37","3,001.83"
2000- 11- 16,"3,016.80","2,925.16","3,082.42","2,925.08"
2000- 11- 17,"2,934.51","2,934.81","3,000.92","2,850.15"
2000- 11- 20,"2,838.29","2,792.41","2,885.31","2,779.78"
2000- 11- 21,"2,807.42","2,786.53","2,844.55","2,745.70"
2000- 11- 22,"2,738.29","2,668.25","2,806.33","2,667.11"
