Date,Open,High,Low,Close,Volume,Adjshareprice,Adjshareratio,Clsssmajind,Clsssminind,Stockinfo,Adjshareevnt,Prevdayclose
2019-01-29,9300,9320,9245,9320,31291,,,,,,,
2019-01-30,9315,9410,9285,9410,18350,,,,,,,
2019-01-31,9450,9450,9310,9420,13513,,,,,,,
2019-02-01,9420,9450,9360,9420,29224,,,,,,,
2019-02-07,9450,9455,9360,9455,711,,,,,,,
2019-02-08,9430,9430,9305,9390,14447,,,,,,,
2019-02-11,9420,9420,9285,9365,81560,,,,,,,
2019-02-12,9385,9385,9320,9370,13257,,,,,,,
2019-02-13,9375,9420,9375,9415,19209,,,,,,,
2019-02-14,9385,9470,9335,9470,5022,,,,,,,
2019-02-15,9435,9435,9340,9410,317,,,,,,,
2019-02-18,9455,9535,9450,9530,295,,,,,,,
2019-02-19,9465,9555,9465,9535,12686,,,,,,,
2019-02-20,9540,9605,9475,9570,232,,,,,,,
2019-02-21,9570,9600,9535,9565,28114,,,,,,,
2019-02-22,9560,9605,9560,9585,214,,,,,,,
2019-02-25,9600,9650,9585,9650,480,,,,,,,
2019-02-26,9645,9645,9570,9620,6364,,,,,,,
2019-02-27,9630,9640,9610,9635,64,,,,,,,
2019-02-28,9640,9650,9445,9460,5958,,,,,,,
2019-03-04,9390,9590,9390,9530,111411,,,,,,,
2019-03-05,9500,9500,9430,9485,1184,,,,,,,
2019-03-06,9470,9545,9465,9500,213,,,,,,,
2019-03-07,9505,9505,9410,9450,115,,,,,,,
2019-03-08,9390,9420,9340,9345,64,,,,,,,
2019-03-11,9335,9420,9300,9420,6164,,,,,,,
2019-03-12,9465,9485,9440,9475,58523,,,,,,,
2019-03-13,9495,9575,9475,9575,62771,,,,,,,
2019-03-14,9605,9665,9590,9655,24993,,,,,,,
2019-03-15,9650,9795,9650,9775,10949,,,,,,,
2019-03-18,9810,9830,9755,9800,44238,,,,,,,
2019-03-19,9805,9805,9740,9780,14035,,,,,,,
2019-03-20,9770,9780,9660,9755,443,,,,,,,
2019-03-21,9735,9750,9570,9595,4714,,,,,,,
2019-03-22,9570,9570,9485,9530,5312,,,,,,,
2019-03-25,9435,9440,9275,9295,215,,,,,,,
2019-03-26,9320,9390,9310,9385,2930,,,,,,,
2019-03-27,9395,9415,9325,9340,323,,,,,,,
2019-03-28,9320,9320,9210,9245,1656,,,,,,,
2019-03-29,9320,9350,9300,9340,5817,,,,,,,
2019-04-01,9385,9455,9385,9430,84347,,,,,,,
2019-04-02,9455,9460,9395,9450,242,,,,,,,
2019-04-03,9435,9490,9380,9490,10110,,,,,,,
2019-04-04,9490,9545,9480,9525,19335,,,,,,,
2019-04-05,9540,9560,9480,9540,1265,,,,,,,
2019-04-08,9565,9580,9530,9550,5874,,,,,,,
2019-04-09,9555,9585,9490,9570,15235,,,,,,,
2019-04-10,9555,9600,9515,9600,29517,,,,,,,
2019-04-11,9595,9605,9540,9555,8315,,,,,,,
2019-04-12,9545,9590,9505,9580,19611,,,,,,,
2019-04-15,9605,9695,9605,9680,102217,,,,,,,
2019-04-16,9675,9690,9580,9630,36974,,,,,,,
2019-04-17,9635,9635,9570,9575,22312,,,,,,,
2019-04-18,9580,9580,9420,9470,112839,,,,,,,
2019-04-19,9500,9500,9415,9435,17644,,,,,,,
2019-04-22,9445,9470,9390,9465,1404,,,,,,,
2019-04-23,9495,9495,9415,9460,50926,,,,,,,
2019-04-24,9500,9505,9380,9405,556,,,,,,,
2019-04-25,9410,9410,9310,9325,669,,,,,,,
2019-04-26,9320,9320,9205,9240,838,,,,,,,
2019-04-29,9140,9245,9105,9245,18564,4,-1.41,,,,,
2019-04-30,9255,9255,9160,9235,31622,,,,,,,
2019-05-02,9215,9295,9205,9270,11398,,,,,,,
2019-05-03,9255,9255,9155,9190,366,,,,,,,
2019-05-07,9070,9075,9010,9060,2034,,,,,,,
2019-05-08,8980,9075,8980,9070,341,,,,,,,
2019-05-09,9040,9040,8825,8830,3178,,,,,,,
2019-05-10,8860,8860,8660,8755,37167,,,,,,,
2019-05-13,8715,8715,8610,8620,8178,,,,,,,
2019-05-14,8575,8680,8535,8660,39743,,,,,,,
2019-05-15,8630,8685,8590,8675,33188,,,,,,,
2019-05-16,8675,8685,8525,8550,30378,,,,,,,
2019-05-17,8545,8580,8425,8460,1001,,,,,,,
2019-05-20,8485,8505,8420,8435,2906,,,,,,,
2019-05-21,8430,8440,8380,8395,8257,,,,,,,
2019-05-22,8420,8420,8305,8335,6818,,,,,,,
2019-05-23,8315,8315,8210,8275,3784,,,,,,,
2019-05-24,8250,8280,8185,8230,184545,,,,,,,
2019-05-27,8235,8250,8190,8230,213611,,,,,,,
2019-05-28,8225,8300,8205,8290,64414,,,,,,,
2019-05-29,8290,8290,8100,8145,51100,,,,,,,
2019-05-30,8135,8155,8050,8155,63083,,,,,,,
2019-05-31,8135,8175,8090,8155,129,,,,,,,
2019-06-03,8130,8180,8090,8175,20944,,,,,,,
2019-06-04,8185,8220,8135,8200,53047,,,,,,,
2019-06-05,8250,8255,8225,8230,2125,,,,,,,
2019-06-07,8240,8255,8190,8215,14355,,,,,,,
2019-06-10,8265,8310,8260,8300,640,,,,,,,
2019-06-11,8305,8425,8305,8420,224,,,,,,,
2019-06-12,8440,8460,8400,8430,7777,,,,,,,
