Date,Open,High,Low,Close,Volume,Adjshareprice,Adjshareratio,Clsssmajind,Clsssminind,Stockinfo,Adjshareevnt,Prevdayclose
2020-05-13,10080,10115,9970,10030,41584,,,,,,,
2020-05-14,9995,10155,9930,10120,23107,,,,,,,
2020-05-15,10150,10180,10030,10110,34499,,,,,,,
2020-05-18,10110,10110,9935,9935,3292,,,,,,,
2020-05-19,9930,9930,9755,9880,20350,,,,,,,
2020-05-20,9920,10080,9920,10080,4771,,,,,,,
2020-05-21,10055,10295,10040,10140,14093,,,,,,,
2020-05-22,10205,10295,10175,10270,36324,,,,,,,
2020-05-25,10310,10530,10310,10530,96060,,,,,,,
2020-05-26,10555,10690,10520,10685,75983,,,,,,,
2020-05-27,10695,10695,10370,10515,45992,,,,,,,
2020-05-28,10590,10590,10095,10225,34999,,,,,,,
2020-05-29,10295,10360,10210,10230,34546,,,,,,,
2020-06-01,10290,10360,10245,10335,18387,,,,,,,
2020-06-02,10335,10410,10290,10375,47483,,,,,,,
2020-06-03,10490,10530,10370,10380,15255,,,,,,,
2020-06-04,10510,10510,10335,10390,16676,,,,,,,
2020-06-05,10305,10380,10245,10365,5511,,,,,,,
2020-06-08,10425,10500,10360,10470,25154,,,,,,,
2020-06-09,10545,10545,10410,10500,29712,,,,,,,
2020-06-10,10625,10680,10575,10620,20037,,,,,,,
2020-06-11,10550,10785,10550,10660,138399,,,,,,,
2020-06-12,10245,10595,10245,10535,25335,,,,,,,
2020-06-15,10480,10615,10045,10045,9487,,,,,,,
2020-06-16,10320,10695,10305,10695,12845,,,,,,,
2020-06-17,10655,10730,10500,10690,16305,,,,,,,
2020-06-18,10630,10660,10565,10595,3025,,,,,,,
2020-06-19,10595,10635,10445,10575,7443,,,,,,,
2020-06-22,10545,10700,10545,10675,8201,,,,,,,
2020-06-23,10715,11215,10715,11180,210772,,,,,,,
2020-06-24,11265,11285,11125,11235,27438,,,,,,,
2020-06-25,11235,11235,10925,10985,52650,,,,,,,
2020-06-26,11145,11145,10905,11075,108730,,,,,,,
2020-06-29,10965,11055,10825,10825,5398,,,,,,,
2020-06-30,11025,11360,10995,11315,46119,,,,,,,
2020-07-01,11365,11365,11080,11125,14826,,,,,,,
2020-07-02,11085,11665,11045,11665,142837,,,,,,,
2020-07-03,11665,11715,11570,11715,54301,,,,,,,
2020-07-06,11735,12210,11725,12160,97663,,,,,,,
2020-07-07,12160,12350,12080,12350,91328,,,,,,,
2020-07-08,12425,12455,12265,12425,86717,,,,,,,
2020-07-09,12600,12630,12420,12545,110065,,,,,,,
2020-07-10,12545,12780,12435,12560,124997,,,,,,,
2020-07-13,12775,12775,12540,12705,57515,,,,,,,
2020-07-14,12660,12660,12445,12590,89062,,,,,,,
2020-07-15,12665,12665,12315,12370,105045,,,,,,,
2020-07-16,12290,12305,11955,12005,78628,,,,,,,
2020-07-17,11995,12120,11965,12075,47661,,,,,,,
2020-07-20,12045,12045,11765,11900,53251,,,,,,,
2020-07-21,11870,12080,11870,12010,51561,,,,,,,
2020-07-22,12000,12000,11775,11930,24017,,,,,,,
2020-07-23,11905,11945,11790,11865,25175,,,,,,,
2020-07-24,11865,11955,11775,11855,18856,,,,,,,
2020-07-27,11925,12105,11925,12070,29846,,,,,,,
2020-07-28,12100,12210,12070,12155,10617,,,,,,,
2020-07-29,12215,12215,12070,12190,12979,,,,,,,
