Date,Open,High,Low,Close,Volume,Adjshareprice,Adjshareratio,Clsssmajind,Clsssminind,Stockinfo,Adjshareevnt,Prevdayclose
2020-01-03,15410,15650,15100,15205,6753,,,,,,,
2020-01-06,15050,15060,14910,15005,2212,,,,,,,
2020-01-07,15065,15405,15065,15315,3750,,,,,,,
2020-01-08,15040,15255,14890,15115,29016,,,,,,,
2020-01-09,15425,15585,15385,15585,22665,,,,,,,
2020-01-10,15585,15885,15585,15880,42036,,,,,,,
2020-01-13,15905,16215,15860,16215,19019,,,,,,,
2020-01-14,16310,16555,16310,16335,35892,,,,,,,
2020-01-15,16160,16290,16090,16155,1923,,,,,,,
2020-01-16,16205,16515,16125,16515,3729,,,,,,,
2020-01-17,16730,16845,16480,16575,7464,,,,,,,
2020-01-20,16785,17010,16750,16830,7231,,,,,,,
2020-01-21,16710,16825,16400,16400,984,,,,,,,
2020-01-22,16420,16885,16370,16870,3083,,,,,,,
2020-01-23,16605,16680,16410,16435,1568,,,,,,,
2020-01-28,15575,15770,15245,15435,35765,,,,,,,
2020-01-29,15600,15655,15355,15530,6241,,,,,,,
2020-01-30,15420,15495,14845,14920,121176,,,,,,,
2020-01-31,15100,15200,14580,14580,19942,,,,,,,
2020-02-03,14135,14715,14110,14565,12001,,,,,,,
2020-02-04,14565,15170,14565,15125,7655,,,,,,,
2020-02-05,15515,15515,15125,15275,65965,,,,,,,
2020-02-06,15530,16205,15530,16180,5645,,,,,,,
2020-02-07,16050,16055,15725,15925,7430,,,,,,,
2020-02-10,15400,15735,15400,15720,16173,,,,,,,
2020-02-11,15850,16230,15850,16045,22950,,,,,,,
2020-02-12,16155,16355,15940,16310,27063,,,,,,,
2020-02-13,16430,16570,16235,16235,24162,,,,,,,
2020-02-14,16120,16540,16015,16415,4881,,,,,,,
2020-02-17,16230,16520,16230,16420,11562,,,,,,,
2020-02-18,16100,16225,15825,15870,18341,,,,,,,
2020-02-19,16050,16080,15625,15910,22183,,,,,,,
2020-02-20,16115,16195,15580,15770,20367,,,,,,,
2020-02-21,15360,15550,15250,15280,31305,,,,,,,
2020-02-24,14640,14640,14100,14105,7473,,,,,,,
2020-02-25,14175,14425,14010,14410,23465,,,,,,,
2020-02-26,13725,14150,13725,14010,13516,,,,,,,
2020-02-27,13965,14040,13615,13710,4451,,,,,,,
2020-02-28,13345,13365,12755,12820,220372,,,,,,,
2020-03-02,12965,13210,12610,13065,157142,,,,,,,
2020-03-03,13515,13660,13060,13175,153427,,,,,,,
2020-03-04,13060,13820,13060,13780,54687,,,,,,,
2020-03-05,13880,14135,13720,14035,166830,,,,,,,
2020-03-06,13810,13810,13330,13465,334415,,,,,,,
2020-03-09,12610,12690,12130,12305,77352,,,,,,,
2020-03-10,12220,12485,12100,12450,15174,,,,,,,
2020-03-11,12475,12475,11595,11710,36383,,,,,,,
2020-03-12,11715,11715,10520,10825,23598,,,,,,,
2020-03-13,10600,10600,9200,10285,31430,,,,,,,
2020-03-16,10500,10585,9510,9560,39757,,,,,,,
2020-03-17,8675,9680,8675,9115,515455,,,,,,,
2020-03-18,8895,9240,8070,8070,571210,,,,,,,
