Date,Open,High,Low,Close,Volume,Adjshareprice,Adjshareratio,Clsssmajind,Clsssminind,Stockinfo,Adjshareevnt,Prevdayclose
2021-05-31,10955,10970,10905,10945,1520,,,,,,,
2021-06-01,10925,10925,10870,10900,476,,,,,,,
2021-06-02,10880,10925,10880,10925,587,,,,,,,
2021-06-03,10970,10970,10925,10955,995,,,,,,,
2021-06-04,10955,10995,10910,10980,667,,,,,,,
2021-06-07,10980,11020,10970,11020,485,,,,,,,
2021-06-08,10990,11035,10990,11025,5202,,,,,,,
2021-06-09,10965,10970,10885,10945,2019,,,,,,,
2021-06-10,10895,10895,10820,10880,2135,,,,,,,
2021-06-11,10990,10990,10890,10975,240,,,,,,,
2021-06-14,10985,11090,10985,11090,672,,,,,,,
2021-06-15,11035,11080,11035,11050,812,,,,,,,
2021-06-16,11010,11010,10985,10995,712,,,,,,,
2021-06-17,10965,11000,10960,11000,1022,,,,,,,
2021-06-18,11500,11500,10925,11055,414,,,,,,,
2021-06-21,10900,10900,10840,10895,1255,,,,,,,
2021-06-22,11030,11040,10980,11030,2358,,,,,,,
2021-06-23,11005,11130,11000,11070,2196,,,,,,,
2021-06-24,10920,11000,10920,10970,400,,,,,,,
2021-06-25,10970,10970,10940,10940,529,,,,,,,
2021-06-28,10940,11035,10940,11030,4963,,,,,,,
2021-06-29,11035,11095,11030,11085,586,,,,,,,
2021-06-30,11070,11070,10985,11020,562,,,,,,,
2021-07-01,11020,11065,10960,11060,2250,,,,,,,
2021-07-02,11090,11165,11090,11155,2488,,,,,,,
2021-07-05,11185,11185,11120,11175,229,,,,,,,
2021-07-06,11170,11170,11135,11135,835,,,,,,,
2021-07-07,11135,11185,11115,11130,1061,,,,,,,
2021-07-08,11205,11300,11205,11270,634,,,,,,,
2021-07-09,11305,11305,11200,11270,1133,,,,,,,
2021-07-12,11365,11365,11295,11360,280,,,,,,,
2021-07-13,11380,11380,11280,11280,761,,,,,,,
2021-07-14,11280,11330,11280,11300,537,,,,,,,
2021-07-15,11330,11330,11260,11280,1179,,,,,,,
2021-07-16,11360,11360,11275,11350,199,,,,,,,
2021-07-19,11385,11430,11305,11430,3191,,,,,,,
2021-07-20,11380,11385,11355,11370,2612,,,,,,,
2021-07-21,11435,11500,11435,11470,569,,,,,,,
2021-07-22,11425,11440,11385,11420,708,,,,,,,
2021-07-23,11490,11490,11415,11435,445,,,,,,,
2021-07-26,11495,11575,11495,11540,824,,,,,,,
2021-07-27,11585,11585,11480,11545,2708,,,,,,,
2021-07-28,11600,11620,11600,11610,431,,,,,,,
2021-07-29,11620,11620,11530,11580,820,,,,,,,
2021-07-30,11585,11585,11475,11570,382,,,,,,,
2021-08-02,11535,11560,11505,11540,386,,,,,,,
2021-08-03,11600,11600,11540,11580,430,,,,,,,
2021-08-04,11665,11665,11585,11630,580,,,,,,,
2021-08-05,11495,11595,11495,11545,887,,,,,,,
2021-08-06,11570,11570,11540,11545,311,,,,,,,
2021-08-09,11555,11555,11460,11520,795,,,,,,,
2021-08-10,11600,11600,11370,11530,252,,,,,,,
2021-08-11,11800,11800,11495,11700,1788,,,,,,,
2021-08-12,11700,11810,11700,11810,477,,,,,,,
2021-08-13,11810,12055,11805,12000,2214,,,,,,,
2021-08-17,12170,12250,12170,12175,5757,,,,,,,
2021-08-18,12415,12415,12025,12095,1093,,,,,,,
2021-08-19,11930,11930,11885,11895,1059,,,,,,,
2021-08-20,11960,12110,11950,12100,1346,,,,,,,
