Date,Open,High,Low,Close,Volume,Adjshareprice,Adjshareratio,Clsssmajind,Clsssminind,Stockinfo,Adjshareevnt,Prevdayclose
2020-04-16,11665,11665,11415,11660,454,,,,,,,
2020-04-17,11330,12005,11330,11800,2249,,,,,,,
2020-04-20,12125,12125,11745,11870,1022,,,,,,,
2020-04-21,11750,11750,11555,11720,1225,,,,,,,
2020-04-22,11740,11740,11400,11430,471,,,,,,,
2020-04-23,11580,11730,11560,11730,422,,,,,,,
2020-04-24,11725,11725,11600,11700,101,,,,,,,
2020-04-27,12315,12315,11585,11730,947,,,,,,,
2020-04-28,11925,11925,11750,11870,329,,,,,,,
2020-04-29,11870,11885,11795,11830,269,,,,,,,
2020-05-04,12575,12575,11430,11665,1437,,,,,,,
2020-05-06,11760,11995,11720,11995,4149,,,,,,,
2020-05-07,11945,11945,11800,11945,462,,,,,,,
2020-05-08,11945,12070,11945,11970,856,,,,,,,
2020-05-11,12450,12450,11980,12135,1966,,,,,,,
2020-05-12,12135,12150,12075,12150,1722,,,,,,,
2020-05-13,12150,12150,11640,11925,2752,,,,,,,
2020-05-14,11925,11925,11770,11840,263,,,,,,,
2020-05-15,11840,11880,11780,11800,302,,,,,,,
2020-05-18,11900,11900,11825,11825,542,,,,,,,
2020-05-19,12155,12295,12155,12185,3484,,,,,,,
2020-05-20,12185,12220,12130,12210,190,,,,,,,
2020-05-21,12690,12690,12290,12405,1317,,,,,,,
2020-05-22,12320,12320,12245,12245,571,,,,,,,
2020-05-25,12710,12710,12185,12240,1625,,,,,,,
2020-05-26,12715,12715,12240,12470,3135,,,,,,,
2020-05-27,12320,12505,12320,12480,748,,,,,,,
2020-05-28,12675,12675,12565,12595,1467,,,,,,,
2020-05-29,12600,12600,12535,12565,3515,,,,,,,
2020-06-01,12565,12700,12565,12685,1399,,,,,,,
2020-06-02,12700,12770,12665,12700,3345,,,,,,,
2020-06-03,12770,12935,12770,12925,7509,,,,,,,
2020-06-04,12950,13090,12950,13000,728,,,,,,,
2020-06-05,12820,13090,12820,13030,2548,,,,,,,
2020-06-08,13105,13235,13105,13225,1547,,,,,,,
2020-06-09,13315,13345,13300,13340,1148,,,,,,,
2020-06-10,13300,13395,13220,13385,5241,,,,,,,
2020-06-11,13385,13470,13200,13235,1472,,,,,,,
2020-06-12,12835,12835,12565,12670,2207,,,,,,,
2020-06-15,12815,12815,12490,12635,713,,,,,,,
2020-06-16,12725,12905,12725,12905,2010,,,,,,,
2020-06-17,12970,13020,12955,13020,1622,,,,,,,
2020-06-18,13045,13065,12950,12950,2115,,,,,,,
2020-06-19,13090,13100,12845,13100,907,,,,,,,
2020-06-22,13110,13110,12885,13050,614,,,,,,,
2020-06-23,13155,13165,12950,13165,524,,,,,,,
2020-06-24,13190,13190,12920,13160,1951,,,,,,,
2020-06-25,13125,13125,12850,12890,1354,,,,,,,
2020-06-26,13185,13185,12835,12940,687,,,,,,,
2020-06-29,12880,12880,12600,12800,1162,,,,,,,
2020-06-30,12980,12980,12875,12915,525,,,,,,,
2020-07-01,13080,13080,12835,12970,1287,,,,,,,
2020-07-02,13075,13075,12940,13070,1103,,,,,,,
2020-07-03,13080,13150,12925,13145,1148,,,,,,,
2020-07-06,13180,13280,13050,13280,1223,,,,,,,
2020-07-07,13470,13470,13235,13245,3883,,,,,,,
2020-07-08,13420,13420,13020,13315,236,,,,,,,
2020-07-09,13475,13475,13105,13400,1725,,,,,,,
2020-07-10,13475,13475,13170,13305,1725,,,,,,,
2020-07-13,13480,13480,13295,13415,2462,,,,,,,
