,종목,,EPS,BPS,CPS,SPS,PER,PBR,PCR,PSR,MarketCap,AvgVolume,Close,Rank,PER_Rank,PBR_Rank,PCR_Rank,PSR_Rank,TagetNum,보유량,구매량
19,글로브 라이프,GL,7.555405751,87.65562766,14.58099192,51.94929692,12.85966673,1.108428547,6.663469847,1.870285177,9220000000,590044,97.16,97,27,11,16,43,8.0,7,1 
,,,,,,,,,,,,,,,,,,,,,
,,,수량,매입가,현재가,매입금액,현재금액,,,,,,,,,,,,,,
0,어슈런트,,5,161.97,181.4,809.85,907,,,,,,,,,,,,,,
1,브레드 파이낸셜 홀딩스,,7,71.41,54.6,499.87,382.2,,,,,,,,,,,,,,
2,다비타,,6,128.9,97.7,773.4,586.2,,,,,,,,,,,,,,
3,풋락커,,14,39.69,33.29,555.66,466.06,,,,,,,,,,,,,,
4,글로브 라이프,,7,107.9,98.1,755.3,686.7,,,,,,,,,,,,,,
5,헌팅턴 잉걸스 인더스트리스,,3,223.1,214.4,669.3,643.2,,,,,,,,,,,,,,
6,인베스코,,31,12.95,19.54,401.45,605.74,,,,,,,,,,,,,,
7,제프리스 파이낸셜 그룹,,24,34.14,32.95,819.36,790.8,,,,,,,,,,,,,,
8,LKQ,,16,50.56,52.34,808.96,837.44,,,,,,,,,,,,,,
9,링컨 내셔널,,12,70.36,58.32,844.32,699.84,,,,,,,,,,,,,,
10,로열티 벤처,,2,0.01,10.4,0.02,20.8,,,,,,,,,,,,,,
11,모호크 인더스트리스,,3,230.51,141.77,691.53,425.31,,,,,,,,,,,,,,
12,모자이크,,23,36.82,59.85,846.86,1376.55,,,,,,,,,,,,,,
13,NRG 에너지,,23,35.77,46.45,822.71,1068.35,,,,,,,,,,,,,,
14,피너클 웨스트 캐피털,,9,88.15,78.72,793.35,708.48,,,,,,,,,,,,,,
15,에베레스트 리 그룹,,3,275,284.79,825,854.37,,,,,,,,,,,,,,
16,스머커,,6,138.61,125.55,831.66,753.3,,,,,,,,,,,,,,
17,SL그린 리얼티,,10,81.81,62.62,818.1,626.2,,,,,,,,,,,,,,
18,SPDR SP 500,,1,428.65,415.26,428.65,415.26,,,,,,,,,,,,,,
19,유니버셜 헬스 서비시스,,5,158.98,124.96,794.9,624.8,,,,,,,,,,,,,,
20,유넘 그룹,,29,22.43,36.58,650.47,1060.82,,,,,,,,,,,,,,
21,제락스,,34,21.6,18.53,734.4,630.02,,,,,,,,,,,,,,
