종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"091590","남화토건","우량기업부","11050","-200","-1.78","11100","11300","10900","71421","791409400","129727000000","11740000"
"168330","내츄럴엔도텍","관리종목(소속부없음)","2525","0","0.00","0","0","0","0","0","61181194400","24230176"
"094860","네오리진","벤처기업부","2110","-45","-2.09","2125","2160","2105","158343","336273945","107808470820","51094062"
"253590","네오셈","벤처기업부","3480","-25","-0.71","3520","3590","3425","217774","761529915","130763046240","37575588"
"212560","네오오토","우량기업부","8000","-50","-0.62","8010","8200","8000","86618","699430330","62999704000","7874963"
"095660","네오위즈","우량기업부","23550","250","1.07","23350","23550","23000","137747","3212543100","518894082450","22033719"
"042420","네오위즈홀딩스","우량기업부","34500","-400","-1.15","35400","35650","33950","76928","2683986900","305561877000","8856866"
"950220","네오이뮨텍(Reg.S)","외국기업(소속부없음)","13350","50","0.38","13700","14200","13300","1778108","24277658100","1313533333500","98392010"
"311390","네오크레마","벤처기업부","8360","-50","-0.59","8410","8460","8290","24087","201691630","61161718200","7315995"
"085910","네오티스","중견기업부","4250","-35","-0.82","4285","4335","4180","96797","411821650","53068313500","12486662"
"092730","네오팜","우량기업부","34700","850","2.51","34000","34750","33600","50740","1738432200","284795426700","8207361"
"290660","네오펙트","기술성장기업부","4500","-40","-0.88","5080","5090","4340","10019932","46115027150","85078260000","18906280"
"306620","네온테크","벤처기업부","4020","-60","-1.47","4080","4080","3985","245227","987099300","149574640440","37207622"
"153460","네이블","벤처기업부","6790","-350","-4.90","7110","7120","6760","19944","137499690","44338795060","6530014"
"007390","네이처셀","중견기업부","9680","-120","-1.22","9850","9940","9520","502593","4887937420","593446484400","61306455"
"033640","네패스","우량기업부","40250","-1250","-3.01","41450","41800","40100","393245","16000715650","928132880500","23059202"
"330860","네패스아크","중견기업부","42750","-50","-0.12","42450","43600","42100","70436","2998846800","472011129000","11041196"
"089140","넥스턴바이오","벤처기업부","19400","500","2.65","18900","19550","18600","117949","2263939000","229822488000","11846520"
"065170","넥스트BT","중견기업부","1645","65","4.11","1580","1700","1530","3016311","4922141525","143108566405","86996089"
"137940","넥스트아이","중견기업부","1455","-85","-5.52","1640","1645","1440","3147234","4814432050","112204031715","77116173"
"348210","넥스틴","기술성장기업부","62300","-800","-1.27","63800","64900","61400","130750","8170203200","595799820000","9563400"
"041140","넥슨지티","중견기업부","14050","-50","-0.35","14100","14350","13800","102502","1439173400","496995174100","35373322"
"217270","넵튠","중견기업부","24900","-650","-2.54","25450","25450","24800","166399","4163575600","789026767800","31687822"
"225570","넷게임즈","벤처기업부","13100","-100","-0.76","13200","13400","13050","100183","1322138950","377947667700","28850967"
"104620","노랑풍선","중견기업부","26750","350","1.33","26400","26800","25800","143012","3774083700","127481137500","4765650"
"194700","노바렉스","우량기업부","43300","-1600","-3.56","45300","45300","43100","89178","3903799300","389861942000","9003740"
"285490","노바텍","벤처기업부","47850","600","1.27","46950","50500","46600","173981","8445461200","482411450400","10081744"
"278650","노터스","중견기업부","30200","-100","-0.33","30650","31450","29700","523303","16093039950","230104913600","7619368"
"144510","녹십자랩셀","중견기업부","104700","-8800","-7.75","113300","113400","103800","386745","41536527100","1105009453800","10554054"
"031390","녹십자셀","벤처기업부","41750","-600","-1.42","42500","42800","41600","81249","3412219600","529440768000","12681216"
"142280","녹십자엠에스","중견기업부","11700","-200","-1.68","12000","12100","11250","198815","2297414650","247072211100","21117283"
"234690","녹십자웰빙","중견기업부","12600","-100","-0.79","12800","12800","12550","55974","707367600","223678677600","17752276"
"065560","녹원씨엔아이","관리종목(소속부없음)","5770","0","0.00","0","0","0","0","0","99593806250","17260625"
"054050","농우바이오","우량기업부","13100","-250","-1.87","13300","13450","12900","194176","2549908950","210000349100","16030561"
"069140","누리플랜","벤처기업부","7400","-10","-0.13","7340","7510","7190","135670","997732310","52560298200","7102743"
"040160","누리플렉스","벤처기업부","7350","-110","-1.47","7510","7540","7320","52150","386765140","88608182250","12055535"
"126870","뉴로스","관리종목(소속부없음)","2230","0","0.00","0","0","0","0","0","79475797330","35639371"
"060260","뉴보텍","벤처기업부","1560","10","0.65","1550","1570","1515","359032","554524080","52156650000","33433750"
"012340","뉴인텍","벤처기업부","3655","45","1.25","3610","3700","3535","383884","1382985505","109812654810","30044502"
"214870","뉴지랩파마","중견기업부","11500","400","3.60","11050","11850","10900","900972","10372242200","343888456000","29903344"
"270870","뉴트리","우량기업부","33900","-600","-1.74","34250","34900","33500","63905","2176208800","308938293600","9113224"
"144960","뉴파워프라즈마","우량기업부","6410","-240","-3.61","6650","6690","6390","677579","4396381850","280069719840","43692624"
"900100","뉴프라이드","투자주의환기종목(소속부없음)","717","0","0.00","0","0","0","0","0","89790577527","125230931"
"085670","뉴프렉스","중견기업부","1985","30","1.53","1940","2020","1920","320404","632278975","43757965275","22044315"
"119860","다나와","우량기업부","30550","0","0.00","30750","31150","30200","75136","2299189650","399435812100","13074822"
"064260","다날","우량기업부","7740","-60","-0.77","7810","8050","7680","2528423","19815165940","533665569600","68949040"
"093640","다믈멀티미디어","벤처기업부","3090","-35","-1.12","3110","3155","3000","89465","276300510","40605306840","13140876"
"039560","다산네트웍스","중견기업부","9760","-40","-0.41","9810","9930","9650","238263","2332153330","342479063680","35090068"
"032190","다우데이타","우량기업부","13300","-250","-1.85","13600","13650","13200","171488","2299062700","509390000000","38300000"
"068240","다원시스","우량기업부","19500","50","0.26","19500","19650","19050","150379","2916769050","527755936500","27064407"
"020400","대동금속","중견기업부","10850","-300","-2.69","11100","11150","10650","54791","595360400","32581052700","3002862"
"008830","대동기어","중견기업부","4795","-40","-0.83","4835","4835","4685","60415","289309490","43095158400","8987520"
"048470","대동스틸","중견기업부","7100","180","2.60","6920","7440","6830","795472","5670610430","71000000000","10000000"
"004780","대륙제관","우량기업부","6340","-150","-2.31","6490","6690","6320","319069","2051312270","100826281660","15903199"
"017650","대림제지","우량기업부","14950","300","2.05","14600","15050","14050","72585","1057510750","134550000000","9000000"
"007720","대명소노시즌","우량기업부","1385","-10","-0.72","1400","1415","1370","493921","685229235","139608623250","100800450"
"317850","대모","벤처기업부","6110","-20","-0.33","6150","6190","5980","87822","533748360","50862206200","8324420"
"290670","대보마그네틱","벤처기업부","35500","100","0.28","35000","35900","35000","26170","930786100","263298175000","7416850"
"078140","대봉엘에스","우량기업부","10950","-350","-3.10","11300","11400","10900","62929","695454500","121398040050","11086579"
"036480","대성미생물","중견기업부","19050","-700","-3.54","19700","20000","18950","49518","953442300","72390000000","3800000"
"025440","대성엘텍","중견기업부","1160","-40","-3.33","1200","1200","1160","962753","1130932400","117091957880","100941343"
"027830","대성창투","중견기업부","3900","-155","-3.82","4055","4115","3865","1173340","4641763710","156000000000","40000000"
"104040","대성파인텍","벤처기업부","2805","-5","-0.18","2850","2850","2735","1659584","4632925495","87800093205","31301281"
"332290","대신밸런스제7호스팩","SPAC(소속부없음)","2150","-5","-0.23","2150","2150","2150","1","2150","11190750000","5205000"
"336570","대신밸런스제8호스팩","SPAC(소속부없음)","2135","0","0.00","2135","2135","2135","50","106750","11977350000","5610000"
"369370","대신밸런스제9호스팩","SPAC(소속부없음)","2130","10","0.47","2100","2130","2100","1100","2310300","8967300000","4210000"
"020180","대신정보통신","중견기업부","1910","15","0.79","1895","1945","1885","329847","632089475","73399227650","38428915"
"045390","대아티아이","우량기업부","5450","-10","-0.18","5480","5570","5420","778091","4266707130","387775794900","71151522"
"108380","대양전기공업","우량기업부","18050","-350","-1.90","18350","18600","17950","105088","1920026600","172690360650","9567333"
"006580","대양제지","관리종목(소속부없음)","3260","0","0.00","0","0","0","0","0","87531000000","26850000"
"007680","대원","우량기업부","10700","-250","-2.28","10950","11050","10450","101916","1095854000","131176660700","12259501"
"048910","대원미디어","우량기업부","36250","-900","-2.42","36950","37950","36200","276560","10208406700","455986792500","12578946"
"005710","대원산업","우량기업부","8570","210","2.51","8360","8630","8250","197130","1674460710","171722232000","20037600"
"290380","대유","중견기업부","14100","-100","-0.70","14300","14300","13950","70355","988839550","133166040000","9444400"
"290120","대유에이피","중견기업부","7870","-10","-0.13","7880","7950","7600","125901","983877950","85663163510","10884773"
"120240","대정화금","우량기업부","30000","-1600","-5.06","31350","31400","29900","195028","5927127300","215711730000","7190391"
"003310","대주산업","중견기업부","2550","-180","-6.59","2700","2745","2535","8581038","22638667910","90250492500","35392350"
"078600","대주전자재료","벤처기업부","49300","-1200","-2.38","50800","50800","48400","475603","23488411100","758610849200","15387644"
"096350","대창솔루션","중견기업부","488","15","3.17","471","496","464","4315025","2084064328","79915372392","163761009"
"140520","대창스틸","중견기업부","3560","-40","-1.11","3600","3835","3495","2142757","7888922540","75148905080","21109243"
"131220","대한과학","벤처기업부","16200","-350","-2.11","16600","17350","16150","1149085","19419241100","120762738000","7454490"
"010170","대한광통신","우량기업부","3230","-40","-1.22","3255","3295","3220","440667","1431931830","238185448750","73741625"
"060900","대한그린파워","관리종목(소속부없음)","2900","90","3.20","2820","2905","2770","1646041","4659008720","444532401500","153287035"
"054670","대한뉴팜","중견기업부","11550","-250","-2.12","11800","11850","11450","66371","769778350","165799326000","14354920"
"023910","대한약품","우량기업부","42000","-1700","-3.89","43700","43950","41950","53535","2284723950","252000000000","6000000"
"021040","대호특수강","중견기업부","921","8","0.88","914","943","911","1202011","1115604684","67336912746","73112826"
"021045","대호특수강우","중견기업부","1500","30","2.04","1455","1530","1455","60658","90704100","6363699000","4242466"
"067080","대화제약","우량기업부","12350","-150","-1.20","12450","12650","12250","55640","690306750","229915627500","18616650"
"298540","더네이쳐홀딩스","중견기업부","53500","-100","-0.19","53300","54000","52700","52472","2803506300","389069548000","7272328"
"299170","더블유에스아이","중견기업부","3270","-5","-0.15","3280","3290","3205","86115","278575055","95608139010","29237963"
"213420","덕산네오룩스","우량기업부","43400","-750","-1.70","44200","44350","42500","210679","9111109150","1042034520800","24010012"
"317330","덕산테코피아","우량기업부","20550","750","3.79","20000","20750","19800","388959","7957453550","377656145400","18377428"
"077360","덕산하이메탈","중견기업부","13700","-150","-1.08","13750","14200","13600","209370","2907603450","311243463700","22718501"
"090410","덕신하우징","우량기업부","1585","-10","-0.63","1600","1620","1545","1010878","1605283620","73043290575","46084095"
"263600","덕우전자","우량기업부","8830","160","1.85","8710","8860","8510","173475","1514979080","140664637300","15930310"
"194480","데브시스터즈","벤처기업부","109000","-9500","-8.02","119500","122000","102300","510149","55996754500","1237828307000","11356223"
"263800","데이타솔루션","중견기업부","6120","-20","-0.33","6110","6240","6050","28625","175359960","97299309600","15898580"
