,Cash,Stock,Asset,Signal,CAGR,MDD,Accuracy,Precision
2017-08-24,3524,[100],1017024,Hold,6.2903767720243975,2.2726745220613838,,
2017-08-25,3524,[100],1012524,Hold,4.554466102754495,2.2726745220613838,,
2017-08-28,3524,[100],1016024,Hold,5.681630095097989,2.2726745220613838,,
2017-08-29,3524,[100],1013024,Hold,4.556484543309591,2.2726745220613838,,
2017-08-30,3524,[100],1020024,Hold,6.9970717507342295,2.2726745220613838,,
2017-08-31,3524,[100],1024024,Hold,8.353872846528553,2.2726745220613838,,
2017-09-01,3524,[100],1029024,Hold,10.054635297511517,2.2726745220613838,,
2017-09-04,3524,[100],1021024,Hold,7.015705213277013,2.2726745220613838,,
2017-09-05,3524,[100],1024524,Hold,8.140265581161565,2.2726745220613838,,
2017-09-06,3524,[100],1021024,Hold,6.8884783684294515,2.2726745220613838,,
2017-09-07,3524,[100],1028024,Hold,9.168485037891582,2.2726745220613838,,
2017-09-08,3524,[100],1021524,Hold,6.93038196236635,2.2726745220613838,,
2017-09-11,3524,[100],1029024,Hold,9.172144128128835,2.2726745220613838,,
2017-09-12,3524,[100],1036024,Hold,11.365291330556948,2.2726745220613838,,
2017-09-13,3524,[100],1039524,Hold,12.404013437578687,2.2726745220613838,,
2017-09-14,3524,[100],1039524,Hold,12.296332750754036,2.2726745220613838,,
2017-09-15,3524,[100],1036524,Hold,11.23243412168442,2.2726745220613838,,
2017-09-18,3524,[100],1044524,Hold,13.449704442347832,2.2726745220613838,,
2017-09-19,3524,[100],1044524,Hold,13.337034817352777,2.2726745220613838,,
2017-09-20,3524,[100],1044524,Hold,13.226234941845183,2.2726745220613838,,
2017-09-21,3524,[100],1044524,Hold,13.117258707872459,2.2726745220613838,,
2017-09-22,3524,[100],1039524,Hold,11.497762927516607,2.2726745220613838,,
2017-09-25,3524,[100],1041024,Hold,11.665387545855443,2.2726745220613838,,
2017-09-26,3524,[100],1041524,Hold,11.719507928115402,2.2726745220613838,,
2017-09-27,3524,[100],1041524,Hold,11.627835305286926,2.2726745220613838,,
