Date,Open,Close,High,Low,Volume,Signal
2017-01-09,26396,27000,27000,26396,745,
2017-01-10,26945,26708,26945,26703,1913,
2017-01-11,26668,26935,27015,26668,244,
2017-01-12,26985,26668,26985,26609,1284,
2017-01-13,26574,26540,26604,26515,208,
2017-01-16,26560,26614,26614,26560,131,Buy
2017-01-17,26614,26510,26777,26510,1152,
2017-01-18,26456,26302,26456,26228,876,
2017-01-19,26342,26560,26644,26293,1084,
2017-01-20,26743,26476,26743,26416,1826,
2017-01-23,26743,26258,26743,26258,530,
2017-01-24,26332,26332,26377,26307,604,
2017-01-25,26565,26614,26698,26510,165,
2017-01-26,26663,26752,26772,26604,1113,
2017-01-31,26752,26565,26802,26555,1499,
2017-02-01,26565,26555,26565,26421,442,
2017-02-02,26515,26302,26535,26258,1476,
2017-02-03,27069,26401,27069,25788,2392,
2017-02-06,26426,26243,26426,26179,1673,
2017-02-07,26243,26451,26485,26243,1005,
2017-02-08,26451,26574,26574,26451,163,
2017-02-09,26658,26594,26658,26505,440,
2017-02-10,26762,26851,26851,26728,1836,
2017-02-13,26901,26940,26940,26748,848,
2017-02-14,27005,26723,27005,26723,853,
2017-02-15,26911,26851,26970,26832,2654,Buy
2017-02-16,26851,27069,27069,26851,284,
2017-02-17,27069,27113,27113,27039,2246,
2017-02-20,27227,27371,27376,27178,1570,
2017-02-21,27371,27321,27371,27148,1353,
2017-02-22,27346,27366,27366,27277,274,
2017-02-23,27316,27207,27316,27108,2228,
2017-02-24,26995,26940,27019,26856,1093,
2017-02-27,26990,27113,27113,26955,369,
2017-02-28,27044,27034,27148,27019,1020,
2017-03-02,27277,27504,27593,27277,2557,
2017-03-03,27455,27667,27667,27405,963,
2017-03-06,27618,27766,27766,27568,320,
2017-03-07,27692,27524,27727,27524,1408,
2017-03-08,27074,27415,27479,27074,1430,
2017-03-09,27465,27781,27781,27465,215,
2017-03-10,27746,27811,27919,27746,313,
2017-03-13,27776,27578,27776,27578,695,
2017-03-14,27727,27677,27727,27583,521,
2017-03-15,27791,27588,27791,27554,453,
2017-03-16,27435,27519,27529,27405,598,
2017-03-17,27519,27425,27568,27296,611,
2017-03-20,27425,27118,27425,27049,1329,Buy
2017-03-21,26728,27094,27094,26728,1191,
2017-03-22,26911,26718,26960,26663,1197,
2017-03-23,26955,26955,26965,26802,148,
2017-03-24,26965,26955,26995,26950,87,
2017-03-27,27489,26490,27489,26490,1382,
2017-03-28,27094,26802,27094,26752,238,
2017-03-29,27163,27015,27168,26906,1224,
2017-03-30,27168,27168,27168,27015,1471,
2017-03-31,27168,27153,27227,27143,506576,
2017-04-03,27227,27202,27227,27034,1159,
2017-04-04,27227,27049,27227,27034,414,
2017-04-05,27232,27296,27296,27212,654,
2017-04-06,27277,27257,27395,27178,857,
2017-04-07,27321,27445,27445,27316,539,
2017-04-10,27445,27722,27727,27445,2180,
2017-04-11,27311,27771,27826,27311,1260,
2017-04-12,27771,27549,27771,27539,1375,
2017-04-13,27321,27212,27371,27099,1779,
2017-04-14,27173,27188,27222,27099,359,
2017-04-17,27593,27198,27593,27039,1559,Buy
2017-04-18,27316,27623,27623,27316,971,
2017-04-19,27400,27534,27534,27395,151,
2017-04-20,27647,27578,27647,27534,269,
2017-04-21,27509,27657,27766,27509,1095,
2017-04-24,27781,27761,27781,27628,1345,
2017-04-25,27791,27806,27919,27766,2028,
2017-04-26,27919,27934,28018,27781,1667,
2017-04-27,27934,28063,28063,27924,463,
2017-04-28,28088,28266,28271,28018,2799,
2017-05-02,28632,28483,28632,28320,2447,
2017-05-04,28434,28488,28562,28266,1601,
2017-05-08,28493,28562,28636,28493,795,
2017-05-10,28562,28839,28839,28562,1409,
2017-05-11,28849,28666,28849,28641,1776,
2017-05-12,28666,28582,28666,28483,1782,
2017-05-15,28681,28641,28701,28582,700,
2017-05-16,28582,28483,28582,28483,1719,Buy
2017-05-17,28508,28419,28547,28365,1420,
2017-05-18,28320,28112,28320,27989,3319,
2017-05-19,28078,28419,28468,28078,1892,
2017-05-22,28632,28374,28632,28191,2217,
2017-05-23,28389,28622,28632,28384,750,
2017-05-24,28681,28755,28770,28622,403,
2017-05-25,28780,28780,28780,28656,1273,
2017-05-26,28780,29027,29027,28780,2693,
2017-05-29,29027,29111,29111,28938,1921,
2017-05-30,29111,29166,29166,28988,491,
2017-05-31,29077,29091,29161,29022,1325,
2017-06-01,29091,29062,29126,29022,655,
2017-06-02,29077,29324,29324,29077,3122,
2017-06-05,29393,29438,29462,29260,3069,
2017-06-07,29443,29462,29462,29274,1063,
2017-06-08,29462,29576,29660,29462,1140,
2017-06-09,29586,29601,29601,29502,2251,
2017-06-12,29373,28874,29373,28770,4750,
2017-06-13,28874,28938,28938,28874,3091,
2017-06-14,28963,28933,29077,28780,2106,
2017-06-15,28933,28726,28933,28622,2781,Buy
2017-06-16,28726,28948,29042,27059,2452,
2017-06-19,28948,28938,28948,28730,2592,
2017-06-20,29161,29368,29423,29156,2639,
2017-06-21,29373,29220,29373,29116,3232,
2017-06-22,29438,29527,29551,29388,1279,
2017-06-23,29527,29497,29551,29368,642,
2017-06-26,29621,29596,29621,29373,3557,
2017-06-27,29621,29339,29621,29319,1924,
2017-06-28,29339,28983,29339,28884,2612,
2017-06-29,29373,29378,29383,29230,6368,
2017-06-30,29319,28899,29319,28795,3995,
2017-07-03,29225,29027,29225,28800,946,
2017-07-04,29027,28800,29027,28671,1856,
2017-07-05,29077,28755,29077,28656,1444,
2017-07-06,29077,29111,29250,28968,3441,
2017-07-07,28829,28993,29522,28829,2236,
2017-07-10,29517,29171,29517,29082,1503,
2017-07-11,29176,29294,29299,29176,2158,
2017-07-12,29294,29225,29329,29190,461,
2017-07-13,29522,29443,29546,29334,3600,
2017-07-14,29443,29373,29527,29274,3171,
2017-07-17,29591,29507,29591,29373,1913,Buy
2017-07-18,29495,29337,29495,29332,889,
2017-07-19,29381,29411,29599,29352,1351,
2017-07-20,29609,29797,29831,29604,3042,
2017-07-21,29806,29564,29806,29544,3243,
2017-07-24,29658,29455,29658,29441,2296,
2017-07-25,29628,29604,29678,29579,679,
2017-07-26,29693,29668,29693,29599,630,
2017-07-27,29668,29787,29811,29668,923,
2017-07-28,29787,29470,29787,29371,2912,
2017-07-31,29559,29549,29698,29490,1956,
2017-08-01,29792,29589,29792,29317,845,
2017-08-02,29589,29905,29960,29589,2708,
2017-08-03,29856,29836,29856,29688,2496,
2017-08-04,29836,29663,29836,29584,2054,
2017-08-07,29752,29836,29851,29668,6805,
2017-08-08,29856,29871,29890,29737,1478,
2017-08-09,29871,29900,29900,29836,1033,
2017-08-10,29974,30054,30138,29974,1020,
2017-08-11,29559,29495,29624,29495,1974,
2017-08-14,30088,29925,30088,29732,1977,
2017-08-16,29925,30083,30202,29925,1918,Buy
2017-08-17,30202,30078,30202,29965,410,
2017-08-18,30078,29703,30078,29500,3086,
2017-08-21,29752,29495,29752,29411,2802,
2017-08-22,29441,29525,29559,29441,731,
2017-08-23,29757,29732,29777,29619,990,
2017-08-24,29510,29520,29564,29451,1101,
2017-08-25,29747,29470,29747,29460,619,
2017-08-28,29500,29149,29500,29134,2331,
2017-08-29,29134,29223,29278,29134,371,
2017-08-30,29559,29549,29559,29401,503,
2017-08-31,29811,29979,29979,29594,7744,
2017-09-01,29979,30128,30152,29979,2030,
2017-09-04,29970,30073,30192,29970,4648,
2017-09-05,30162,30133,30246,30133,5622,
2017-09-06,30123,30182,30187,29935,1488,
2017-09-07,30182,30063,30182,29974,1690,
2017-09-08,30637,30059,30637,29935,910,
2017-09-11,30059,30113,30113,29871,616,
2017-09-12,30113,30232,30286,30113,1339,
2017-09-13,30409,30222,30409,30182,1954,
2017-09-14,30222,30439,30439,30222,828,
2017-09-15,30439,30241,30439,30202,1127,Buy
2017-09-18,30340,30291,30340,30241,4521,
2017-09-19,30469,30276,30469,30128,683,
2017-09-20,30316,30241,30316,30177,1675,
2017-09-21,30642,30222,30642,30172,712,
2017-09-22,30222,30113,30222,29910,1820,
2017-09-25,30449,30054,30449,29989,918,
2017-09-26,29821,29881,29905,29757,3349,
2017-09-27,29535,30004,30014,29535,2230,
2017-09-28,30266,30582,30597,30266,3979,
2017-09-29,30582,30439,30582,30380,1457,
2017-10-10,30474,30849,30968,30474,4857,
2017-10-11,30849,30844,30909,30736,3570,
2017-10-12,31339,30864,31339,30785,7069,
2017-10-13,30864,30701,30864,30691,1858,
2017-10-16,31240,30815,31240,30736,5475,Buy
2017-10-17,30820,30998,30998,30820,1406,
2017-10-18,30998,30988,31022,30943,2652,
2017-10-19,30988,30968,31022,30943,5042,
2017-10-20,30968,30963,31022,30765,2392,
2017-10-23,30968,30928,31052,30899,7652,
2017-10-24,30928,30662,30928,30652,2304,
2017-10-25,30840,30676,30840,30667,951,
2017-10-26,30489,30484,30528,30444,2151,
2017-10-27,30676,30706,30731,30568,50096,
2017-10-30,31166,31339,31339,31161,5752,
2017-10-31,31299,31220,31319,31161,19355,
2017-11-01,31220,31304,31334,31190,15922,
2017-11-02,30760,31141,31141,30760,15216,
2017-11-03,31161,31215,31215,31017,1129,
2017-11-06,31373,31265,31532,31265,1672,
2017-11-07,31275,31517,31571,31275,1845,
2017-11-08,31517,31571,31611,31517,1945,
2017-11-09,31853,31709,31853,31581,1975,
2017-11-10,31709,31630,31709,31536,2014,
2017-11-13,31630,31719,31813,31561,3823,
2017-11-14,31774,31700,31774,31635,1569,
2017-11-15,31700,31388,31705,31339,4047,Buy
2017-11-16,31388,31067,31388,30904,4427,
2017-11-17,31082,31141,31275,31067,1983,
2017-11-20,30800,31126,31161,30800,3509,
2017-11-21,31230,31047,31388,30993,2511,
2017-11-22,31586,31220,31586,31190,2714,
2017-11-23,31220,31097,31220,31032,3971,
2017-11-24,31186,31097,31186,31022,572,
2017-11-27,31141,31200,31270,31131,2610,
2017-11-28,31329,31181,31329,31151,4119,
2017-11-29,31240,31418,31418,31195,1042,
2017-11-30,31309,30597,31309,30597,6861,
2017-12-01,31042,30983,31042,30835,1359,
2017-12-04,31141,31116,31141,30978,3991,
2017-12-05,31111,30479,31111,30414,3777,
2017-12-06,30671,30602,30681,30479,771,
2017-12-07,30681,30928,30933,29134,3329,
2017-12-08,30943,31111,31111,30943,7097,
2017-12-11,31388,31171,31388,30958,2308,
2017-12-12,31388,31383,31388,31171,1924,
2017-12-13,31388,31487,31581,31250,1887,
2017-12-14,31492,31186,31492,31166,5853,
2017-12-15,31186,31230,31235,31186,1488,
2017-12-18,31270,31705,31709,31270,6716,Buy
2017-12-19,31719,31724,31828,31655,4946,
2017-12-20,31650,31512,31650,31492,4480,
2017-12-21,31675,31393,31675,31166,7339,
2017-12-22,31621,31378,31789,31304,5826,
2017-12-26,31734,31205,31734,31195,10279,
2017-12-27,31205,31037,31205,30943,2624,
2017-12-28,31042,30968,31042,30938,1394,
2018-01-02,30968,30543,31042,30528,11219,
2018-01-03,30849,31116,31240,30602,3349,
2018-01-04,31240,31408,31527,31240,3828,
2018-01-05,31408,31438,31457,31240,2821,
2018-01-08,31591,31759,31828,31591,3556,
2018-01-09,31828,31971,32031,31828,5390,
2018-01-10,32125,32085,32125,31952,4611,
2018-01-11,31848,32065,32085,31848,4527,
2018-01-12,32130,32075,32130,31887,3225,
2018-01-15,32224,32298,32317,32159,2936,Buy
2018-01-16,32298,32308,32322,32273,3353,
2018-01-17,32308,32332,32332,32080,2955,
2018-01-18,32525,32663,32663,32476,3716,
2018-01-19,32723,32570,32748,32495,6287,
2018-01-22,32570,32787,32787,32555,3705,
2018-01-23,32822,33514,34997,32441,6842,
2018-01-24,33904,33385,33904,33326,16128,
2018-01-25,33385,32866,33385,32525,11510,
2018-01-26,32866,33069,33069,32866,5456,
2018-01-29,33563,33524,33568,33415,9156,
2018-01-30,33514,33440,33613,33217,6304,
2018-01-31,33440,33212,33440,32871,5458,
2018-02-01,33613,33489,33613,33212,2143,
2018-02-02,33019,33588,33588,33019,4399,
2018-02-05,32921,32906,33014,32738,4553,
2018-02-06,31141,31724,32070,31027,15742,
2018-02-07,33069,31932,33069,31932,8037,
2018-02-08,31937,32189,32189,31789,4393,
2018-02-09,31932,30968,31932,29386,8685,
2018-02-12,32065,31349,32065,31082,4065,
2018-02-13,32411,31640,32411,31467,2004,
2018-02-14,32599,31690,32599,31640,2081,
2018-02-19,32031,32476,32530,32031,2487,Buy
2018-02-20,32471,32402,32520,32402,1833,
2018-02-21,32673,32713,32713,32431,3503,
2018-02-22,32713,33024,33024,32431,2816,
2018-02-23,33019,32762,33024,32673,14847,
2018-02-26,33014,33237,33311,33014,129495,
2018-02-27,33608,33583,33642,33370,6719,
2018-02-28,33514,33543,33548,33331,9671,
2018-03-02,32876,32743,33563,32698,7182,
2018-03-05,34057,33064,34057,32822,18660,
2018-03-06,33133,33242,34057,33133,7213,
2018-03-07,33805,33148,33805,32921,2771,
2018-03-08,33795,33291,33795,33059,3010,
2018-03-09,33296,33454,33469,33247,4443,
2018-03-12,33756,33954,33954,33756,16966,
2018-03-13,34043,33998,34043,33904,11115,
2018-03-14,33514,33677,33790,33514,11692,
2018-03-15,33677,33677,33692,33454,3689,
2018-03-16,33786,33647,33786,33647,3601,
2018-03-19,33810,33766,33810,33533,4158,Buy
2018-03-20,32965,32935,33074,32921,6766,
2018-03-21,33019,33034,33578,32945,2818,
2018-03-22,32782,32990,33069,32703,23315,
2018-03-23,31744,32263,32644,31744,22520,
2018-03-26,31363,31937,32224,31042,81314,
2018-03-27,32140,32495,32738,32140,5530,
2018-03-28,31784,31299,31784,31027,10694,
2018-03-29,31279,31042,31279,30849,12379,
2018-03-30,30760,31388,31650,30657,17887,
2018-04-02,30765,31517,31863,30765,4860,
2018-04-03,31136,30400,31136,30256,15160,
2018-04-04,30642,30320,30642,30320,2853,
2018-04-05,30676,31230,31408,30671,7358,
2018-04-06,31141,31171,31171,30904,3753,
2018-04-09,31171,31092,31171,30859,1592,
2018-04-10,31032,31571,31571,30825,3564,
2018-04-11,31927,31536,31927,31467,5441,
2018-04-12,31536,31621,31621,31383,1642,
2018-04-13,31937,31729,31937,31675,2205,
2018-04-16,31734,32070,32095,31734,4866,Buy
2018-04-17,32130,32130,32130,31912,55139,
2018-04-18,32293,32555,32599,32293,3074,
2018-04-19,32594,32579,32767,32550,6076,
2018-04-20,32570,32189,32570,32189,3326,
2018-04-23,32229,32031,32229,31912,2095,
2018-04-24,32036,32149,32214,32011,1548,
2018-04-25,32130,31522,32130,31383,2685,
2018-04-26,31635,31695,31838,31635,2724,
2018-04-27,31724,32224,32342,31724,49247,
2018-04-30,31853,32070,32070,31764,37476,
2018-05-02,32253,32342,32352,32036,12829,
2018-05-03,32342,32110,32342,32046,2246,
2018-05-04,32110,31843,32110,31838,3138,
2018-05-08,32525,32975,32975,32229,8442,
2018-05-09,32980,32891,33044,32832,1236,
2018-05-10,33069,33267,33405,33069,10443,
2018-05-11,33281,33158,33464,33158,21642,
2018-05-14,33217,33321,33331,33069,11118,
2018-05-15,33479,33415,33479,33336,4482,
2018-05-16,33168,33227,33356,33168,2605,Buy
2018-05-17,33271,33484,33533,33271,2502,
2018-05-18,33484,33499,33598,33405,20952,
2018-05-21,33499,33682,33761,33331,5223,
2018-05-23,33790,33301,33790,33079,7887,
2018-05-24,33464,33608,33647,33464,9626,
2018-05-25,33751,33731,33815,33613,15068,
2018-05-28,33731,33736,33776,33519,7854,
2018-05-29,33736,33622,33736,33538,3609,
2018-05-30,33538,33548,33627,33380,6943,
2018-05-31,33687,33751,33751,33553,5257,
2018-06-01,33810,33721,33810,33608,12733,
2018-06-04,33884,34206,34206,33879,12933,
2018-06-05,34344,34225,34423,34112,6822,
2018-06-07,34314,34591,34641,34314,10744,
2018-06-08,34156,34394,34423,34156,6793,
2018-06-11,34413,34483,34483,34206,6177,
2018-06-12,34483,34631,34631,34389,11453,
2018-06-14,34660,34888,35002,34660,23087,
2018-06-15,35293,35768,35768,35293,75551,Sell
2018-06-18,35787,35723,35906,35555,13923,
2018-06-19,35807,35530,35807,35352,14592,
2018-06-20,35802,35926,36040,35748,14418,
2018-06-21,36035,36445,36593,36035,134445,
2018-06-22,35857,35901,36005,35694,22158,
2018-06-25,35753,35862,35980,35753,11254,
2018-06-26,35100,34997,35268,34997,25745,
2018-06-27,35194,35343,35535,35194,16241,
2018-06-28,34814,35016,35234,34799,30905,
2018-06-29,35931,35293,35931,35026,28990,
2018-07-02,35293,35160,35387,35091,34191,
2018-07-03,35387,35694,35792,35387,10963,
2018-07-04,35298,35145,35298,35095,7524,
2018-07-05,35140,35244,35338,35046,7962,
2018-07-06,35372,35654,35654,35372,8784,
2018-07-09,36040,35960,36213,35891,20380,
2018-07-10,36287,36573,36578,36188,17644,
2018-07-11,36267,36287,36455,36183,16000,
2018-07-12,36297,36727,36939,36297,36052,
2018-07-13,36944,37265,37265,36944,37603,
2018-07-16,37275,37384,37424,37265,32774,Sell
2018-07-17,37265,36835,37315,36835,27256,
2018-07-18,37399,37607,37607,37349,23119,
2018-07-19,37621,37577,37626,37394,58690,
2018-07-20,37483,37518,37661,37438,79423,
2018-07-23,37508,37206,37508,37063,29845,
2018-07-24,37285,37597,37666,37285,36962,
2018-07-25,37597,37409,37597,37275,25613,
2018-07-26,37374,37369,37522,37345,22515,
2018-07-27,37260,36934,37364,36934,19479,
2018-07-30,36405,36494,36509,36247,18658,
2018-07-31,36267,36035,36267,35921,18911,
2018-08-01,36094,36603,36603,36094,37848,
2018-08-02,36608,36554,36657,36381,46565,
2018-08-03,36914,37335,37399,36914,30141,
2018-08-06,37354,37112,37419,37112,26973,
2018-08-07,37518,37641,37681,37443,36830,
2018-08-08,37700,37468,37700,37404,33896,
2018-08-09,37468,37493,37562,37345,14778,
2018-08-10,37493,37656,37710,37483,24183,
2018-08-13,37458,37562,37597,37419,25494,
2018-08-14,37473,37666,37844,37473,30616,
2018-08-16,37320,37453,37518,37270,16694,Sell
2018-08-17,37453,37265,37453,37172,25338,
2018-08-20,37310,37270,37310,37152,15197,
2018-08-21,36989,37078,37221,36924,63402,
2018-08-22,37181,37078,37181,36875,11746,
2018-08-23,37300,37389,37394,37295,13266,
2018-08-24,37389,37340,37513,37325,18649,
2018-08-27,37399,37597,37636,37389,31505,
2018-08-28,37770,37666,37819,37661,20130,
2018-08-29,37784,37844,37864,37725,14064,
2018-08-30,37943,38061,38130,37938,22743,
2018-08-31,38061,38160,38284,38061,36338,
2018-09-03,38175,38160,38417,37938,53682,
2018-09-04,38180,38378,38407,38091,25773,
2018-09-05,38205,38239,38259,38066,16447,
2018-09-06,37780,37878,37943,37715,26317,
2018-09-07,37695,37542,37695,37394,29239,
2018-09-10,37483,37715,37720,37483,16979,
2018-09-11,37720,37720,37859,37695,35131,
2018-09-12,38012,38027,38032,37849,16069,
2018-09-13,37992,37700,37992,37518,19560,
2018-09-14,38160,38037,38160,37883,19572,
2018-09-17,37819,37898,38121,37819,21057,Sell
2018-09-18,37572,37552,37572,37468,21995,
2018-09-19,37839,37765,37839,37607,12087,
2018-09-20,37864,37686,37864,37473,20535,
2018-09-21,38135,38022,38135,37854,18578,
2018-09-27,37691,37868,38007,37691,17244,
2018-09-28,37908,38051,38234,37908,27576,
2018-10-01,37918,38284,38299,37918,41494,
2018-10-02,38284,38254,38284,38066,16792,
2018-10-04,38422,38422,38506,38328,21765,
2018-10-05,37878,38007,38061,37878,33904,
2018-10-08,37735,37567,37735,37458,16619,
2018-10-10,37458,37438,37458,37310,11909,
2018-10-11,35590,35842,36045,35417,36101,
2018-10-12,35664,35817,35867,35481,56143,
2018-10-15,36480,35965,36489,35965,16190,
2018-10-16,36025,35753,36025,35728,42513,Sell
2018-10-17,36776,36766,36776,36578,59007,
2018-10-18,36974,36643,36974,36623,14616,
2018-10-19,36232,36405,36405,36183,22121,
2018-10-22,36163,36133,36168,35862,66572,
2018-10-23,36366,35956,36366,35921,27475,
2018-10-24,36361,36025,36361,35921,26125,
2018-10-25,34428,34868,34898,34418,20739,
2018-10-26,35476,35244,35901,35095,51370,
2018-10-29,35199,34977,35199,34967,4668,
2018-10-30,34967,34527,34967,34127,10295,
2018-10-31,34833,35006,35021,34705,4937,
2018-11-01,35278,35422,35580,35278,18803,
2018-11-02,35605,35659,35832,35239,22864,
2018-11-05,35199,34922,35199,34735,19382,
2018-11-06,34898,34784,34913,34695,19461,
2018-11-07,34937,35071,35491,34774,22770,
2018-11-08,35778,35965,36020,35778,15362,
2018-11-09,35965,35901,36020,35763,19246,
2018-11-12,35832,35941,35975,35530,9670,
2018-11-13,35066,34833,35066,34601,14017,
2018-11-14,34764,34690,34824,34611,9448,
2018-11-15,34418,34542,34542,34245,5946,Sell
2018-11-16,34962,34631,34962,34547,5904,
2018-11-19,34843,34606,34843,34423,9308,
2018-11-20,33415,33459,33800,33356,7497,
2018-11-21,32728,33326,33331,32728,26354,
2018-11-22,33459,33173,33459,33133,8320,
2018-11-23,33074,33049,33237,33000,3995,
2018-11-26,33049,33311,33365,33049,10116,
2018-11-27,33924,33736,33924,33642,3913,
2018-11-28,34043,33860,34052,33840,2953,
2018-11-29,34799,34502,34848,34473,13270,
2018-11-30,34710,34468,34710,34364,12935,
2018-12-03,34878,35417,35555,34878,12776,
2018-12-04,35679,34547,35679,34547,8178,
2018-12-05,33682,34201,34235,33682,5827,
2018-12-06,34008,33617,34008,33454,4427,
2018-12-07,34403,34141,34403,34122,35734,
2018-12-10,33499,33267,33499,32901,10365,
2018-12-11,33904,33761,33904,33519,24266,
2018-12-12,34295,34156,34295,33860,1808,
2018-12-13,34161,34156,34675,33860,4585,
2018-12-14,34221,33939,34221,33815,1830,
2018-12-17,33558,33627,33672,33425,3446,Sell
2018-12-18,32960,32683,32960,32490,4457,
2018-12-19,32629,32822,32871,32624,2170,
2018-12-20,31833,31734,32189,31591,22602,
2018-12-21,31279,31260,31359,31092,110915,
2018-12-24,30642,30716,30760,30395,124431,
2018-12-26,29920,29703,29920,29480,46063,
2018-12-27,31013,31158,31417,31013,13919,
2018-12-28,31397,31367,31627,31342,7320,
2019-01-02,31472,31492,31997,31382,30139,
2019-01-03,31832,31223,31832,31208,13409,
2019-01-04,31198,31312,31312,30858,10508,
2019-01-07,31787,32327,32452,31787,10882,
2019-01-08,32632,32792,32872,32597,10235,
2019-01-09,32947,33157,33217,32947,20828,
2019-01-10,33232,32837,33232,32787,21744,
2019-01-11,33117,32987,33232,32967,27136,
2019-01-14,32987,32792,32987,32712,11527,
2019-01-15,33067,33077,33077,32877,3632,Sell
2019-01-16,33337,33432,33587,33337,16557,
2019-01-17,33342,33392,33472,33227,4561,
2019-01-18,33457,33921,34486,33457,8743,
2019-01-21,34356,34221,34356,34036,10597,
2019-01-22,34481,33956,34481,33936,10964,
2019-01-23,33886,33607,33886,33547,10936,
2019-01-24,33727,33801,33841,33482,2696,
2019-01-25,33801,34061,34126,33801,14438,
2019-01-28,34156,33886,34156,33776,5514,
2019-01-29,33542,33362,33542,33267,21298,
2019-01-30,33492,33452,33492,33067,31580,
2019-01-31,33991,34046,34096,33831,12885,
2019-02-01,34271,34501,34501,34256,7039,
2019-02-07,34896,35176,35176,34896,10003,
2019-02-08,34906,34501,34906,34481,5365,
2019-02-11,34641,34841,34841,34611,4942,
2019-02-12,35181,35086,35181,34841,6148,
2019-02-13,35291,35436,35456,35291,5827,
2019-02-14,35056,35501,35501,35056,3959,
2019-02-15,35486,35286,35501,35251,6206,Sell
2019-02-18,35571,35531,35676,35481,5191,
2019-02-19,35531,35676,35696,35531,2765,
2019-02-20,35881,35691,35881,35446,4138,
2019-02-21,35676,35641,35776,35416,3649,
2019-02-22,35581,35431,35581,35366,5123,
2019-02-25,35546,35831,35831,35546,9746,
2019-02-26,35826,35436,35826,35376,5865,
2019-02-27,35706,35721,35771,35536,8471,
2019-02-28,35836,35651,35836,35601,5197,
2019-03-04,36106,36330,36370,36036,13774,
2019-03-05,36320,36181,36320,35936,9055,
2019-03-06,35946,36176,36245,35946,4349,
2019-03-07,36086,35991,36086,35841,5598,
2019-03-08,35611,35566,35781,35541,21961,
2019-03-11,35661,35701,35711,35566,2950,
2019-03-12,36171,36375,36485,36171,36856,
2019-03-13,36380,36485,36495,36375,10216,
