종목,현재가,고가,저가,변동,변동 %,거래량,시간
골드만 삭스,306.99,309.63,303.57,+7.58,+2.53%,2.10M,14/05
글로벌 페이먼트,122.20,123.85,119.06,+4.38,+3.72%,1.50M,14/05
글로브 라이프,96.18,97.21,95.48,+1.03,+1.08%,607.23K,14/05
길리어드 사이언시스,62.37,62.61,61.56,-0.11,-0.18%,8.33M,14/05
나스닥,147.49,148.52,145.27,+3.16,+2.19%,853.44K,14/05
나이키,113.01,113.11,108.67,+5.11,+4.74%,9.57M,14/05
넥스테라,69.80,70.19,68.53,+1.29,+1.88%,7.93M,14/05
넷앱,71.21,71.44,69.71,+1.53,+2.20%,1.99M,14/05
넷플릭스,187.64,187.77,176.01,+13.33,+7.65%,12.50M,14/05
노던 트러스트,104.15,105.17,103.25,+1.58,+1.54%,622.60K,14/05
노르웨이안 크루즈 홀딩스,16.22,16.41,15.02,+1.45,+9.82%,27.12M,14/05
노스롭 그루먼,452.83,454.45,447.34,+2.05,+0.45%,570.01K,14/05
노턴라이프락,23.95,24.35,23.71,+0.28,+1.18%,5.88M,14/05
노퍽 서던,249.32,253.05,246.82,+3.26,+1.32%,1.08M,14/05
뉴몬트 골드코프 코퍼레이션,65.25,65.92,64.51,-0.10,-0.15%,6.18M,14/05
뉴스 코퍼레이션,17.84,17.96,17.33,+0.46,+2.65%,3.36M,14/05
뉴웰브랜즈,22.69,22.83,22.09,+0.52,+2.35%,2.30M,14/05
뉴코,123.79,127.67,123.59,-0.85,-0.68%,3.38M,14/05
니소스,30.32,30.33,29.66,+0.71,+2.40%,3.98M,14/05
닐슨홀딩스,25.14,25.83,25.03,-0.51,-1.99%,5.96M,14/05
다나허,249.19,250.72,243.88,+9.64,+4.02%,3.00M,14/05
다든 레스토랑,128.07,129.38,126.01,+3.89,+3.13%,802.57K,14/05
다비타,100.05,103.36,99.51,-3.00,-2.91%,705.57K,14/05
다우,67.56,68.32,67.26,+0.52,+0.78%,3.89M,14/05
다이아몬드백 에너지,133.43,135.78,129.76,+6.39,+5.03%,2.76M,14/05
달러 제너럴,232.33,233.78,229.42,+0.47,+0.20%,1.62M,14/05
달러트리,159.40,161.16,159.19,+0.21,+0.13%,1.83M,14/05
데본 에너지,68.70,69.33,65.96,+4.09,+6.33%,13.20M,14/05
덱스컴,334.74,337.68,316.48,+23.22,+7.45%,1.06M,14/05
덴츠플라이,38.23,38.59,37.86,+0.38,+1.00%,1.87M,14/05
델타항공,38.33,38.45,37.45,+1.66,+4.53%,11.56M,14/05
도미노피자,340.94,343.55,330.44,+13.09,+3.99%,528.40K,14/05
도미니언 에너지,83.61,83.74,82.10,+0.71,+0.86%,2.61M,14/05
도버,132.83,134.23,131.01,+1.48,+1.13%,786.92K,14/05
듀크 리얼티,53.62,53.77,51.73,+1.65,+3.17%,4.13M,14/05
듀크 에너지,109.30,109.67,107.71,+0.45,+0.41%,3.22M,14/05
듀폰,64.14,65.19,63.70,+0.89,+1.41%,2.54M,14/05
디스커버 파이낸셜 서비스,104.90,106.28,103.08,+3.55,+3.50%,1.53M,14/05
디시 네트워크,20.86,21.24,19.99,+0.85,+4.25%,6.26M,14/05
디어,366.69,370.00,363.23,+3.71,+1.02%,1.75M,14/05
디지털리얼,131.19,131.69,126.80,+4.08,+3.21%,2.28M,14/05
라스베가스 샌즈,34.68,34.88,31.55,+4.54,+15.06%,13.35M,14/05
랄프로렌 A,99.93,100.89,96.29,+4.47,+4.68%,702.90K,14/05
래버러토리 코퍼레이션,244.62,248.01,243.05,-0.02,-0.01%,495.44K,14/05
램리서치,491.92,495.30,465.00,+31.49,+6.84%,1.91M,14/05
램웨스턴,63.53,63.60,61.76,+2.09,+3.40%,1.25M,14/05
레나,76.76,77.21,74.50,+2.39,+3.21%,2.70M,14/05
레이먼드 제임스,94.99,95.95,93.00,+2.99,+3.25%,900.30K,14/05
레이시온 테크놀로지스,91.92,92.61,91.09,+0.44,+0.48%,5.46M,14/05
